conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
913882301762850817,Fri Sep 29 21:44:54 +0000 2017,0, I respect everybody but at the same time I carry myself with an aura that demands respect https://t.co/RR1J4RA7A6,913882301762850817,,,en,Washington DC/New York,0,0,0,https://x.com/KingODaArtist/status/913882301762850817,34670269,KingODaArtist
913892371607310337,Fri Sep 29 22:24:55 +0000 2017,0,I think Missy Elliott is such a wonderful spirit. I feel like her aura is amazingly angelic. I wish I could spend a day with her.,913892371607310337,,,en,,0,0,0,https://x.com/WinnyMelanin/status/913892371607310337,190355621,WinnyMelanin
913903282267009029,Fri Sep 29 23:08:16 +0000 2017,0,Can't wear no hat in aura tonight ,913903282267009029,,,en,,0,0,0,https://x.com/Sucmytwidder/status/913903282267009029,188927426,Sucmytwidder
913864102157672448,Fri Sep 29 20:32:35 +0000 2017,1,Looks like Bandai have moved on to Aura Phantasm in their Robot Spirits line. I remember it being on the survey for this line a year ago. https://t.co/qUvYXAKWIK,913864102157672448,,,en,,0,1,0,https://x.com/TheBangDoll2989/status/913864102157672448,855885828605784069,TheBangDoll2989
913824668381048832,Fri Sep 29 17:55:53 +0000 2017,3,Feeling the warmth of breath upon face A pause to absorb this aura next to mine; fluttering eyes up and down Glancing at shy half smiles. ,913824668381048832,,,en,"Saint Paul, MN",0,0,0,https://x.com/Janelovin420/status/913824668381048832,887010302553993216,Janelovin420
913798051881418752,Fri Sep 29 16:10:07 +0000 2017,0,tops.WILD FOX rezer pants.Laguna Moon knit cap.CA4LA shoes.AURA AILA sunglasses.TOMFORD 2012/07/17 https://t.co/cbybWiTDBz%,913798051881418752,,,en,ツイート内の日付はブログの日付です,0,0,0,https://x.com/rola_fashion/status/913798051881418752,2397296994,rola_fashion
947253872040361984,Sat Dec 30 23:51:36 +0000 2017,30,dark times are among us moving w a different typa energy than these niggas my aura is black swear I ma perfect my craft https://t.co/leTQLMMvE6,947253872040361984,https://pbs.twimg.com/ext_tw_video_thumb/947249150017470464/pu/img/cIrvUNGc2fE6wHRq.jpg,,en,777,1,4,14,https://x.com/iDEWWWit/status/947253872040361984,111993392,iDEWWWit
947210734756343808,Sat Dec 30 21:00:12 +0000 2017,6,Spent all day listening to female singer/songwriters while cleansing my office &amp; aura. I m entering 2018 with an open heart curious mind and an iPhoneX. Let s get weird bb! #NewYear https://t.co/Dh99hzY6QN,947210734756343808,https://pbs.twimg.com/ext_tw_video_thumb/947210682067574784/pu/img/zL6iV_ZTD2r6pUGG.jpg,,en,,0,0,0,https://x.com/mikekelton/status/947210734756343808,24003481,mikekelton
947159676717862913,Sat Dec 30 17:37:18 +0000 2017,2,This year's holiday party styles using Absolute Zero &amp; Fairy Lights Aura. #HappyHolidays #DCUO https://t.co/XZNl5JIaQo,947159676717862913,https://pbs.twimg.com/media/DST6rB1W4AASNdE.jpg,,en,Gotham City,0,0,0,https://x.com/ShadowdragonDC/status/947159676717862913,3300570411,ShadowdragonDC
947242359795929091,Sat Dec 30 23:05:52 +0000 2017,3,en 2018 The Fame aura 10 ans https://t.co/XP4fRSqyQ3,947242359795929091,https://pbs.twimg.com/tweet_video_thumb/DSVH5lOXkAALUsE.jpg,,en,paris,0,1,1,https://x.com/FeliceL0uis/status/947242359795929091,2360938046,FeliceL0uis
