conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1542232656242511874,Wed Jun 29 19:44:53 +0000 2022,214,new potions song out tomorrow!! Presave New Aura here: https://t.co/XJQSsz5Oze https://t.co/LkgpkZHvmY,1542232656242511874.1,https://pbs.twimg.com/ext_tw_video_thumb/1542232036978688005/pu/img/ysjBytJA732BxAkZ.jpg,Unnamed: 6,en,Unnamed: 8,3,12,37,https://x.com/potionsmusic/status/1542232656242511874,2909373841,potionsmusic
1.807187145981092e+18,Sat Jun 29 22:59:26 +0000 2024,258.0,When you embody an energy that heals nourishes and elevates the entire frequency of a room you will have to move very differently. As a highly sensitive light worker I am constantly feeling others pulling at my energy field with desires of latching on. Tugging at my aura ,1.807187145981092e+18,,,en,Divinity ,1.0,5.0,77.0,https://x.com/777_oya/status/1807187145981092050,24737487.0,777_oya,,,,,,,,,,,,,,,
1.807176414946349e+18,Sat Jun 29 22:16:47 +0000 2024,1.0,i HAVE two aura points.,1.807176414946349e+18,,,en,do i look like him ?,1.0,0.0,0.0,https://x.com/rebelsroost/status/1807176414946349152,1.7748542335666586e+18,rebelsroost,,,,,,,,,,,,,,,
1.8071902391922565e+18,Sat Jun 29 23:11:43 +0000 2024,0.0,Magic would be infinite aura,1.8071902391922565e+18,,,en,561,0.0,0.0,0.0,https://x.com/kkiriinn/status/1807190239192256558,1.5905093890767299e+18,kkiriinn,,,,,,,,,,,,,,,
1.807194218315813e+18,Sat Jun 29 23:27:32 +0000 2024,4.0,Chris just texted Eddie that he has negative aura and isn t responding to Eddie asking him wtf that means,1.807194218315813e+18,,,en,20 | they/she,0.0,0.0,0.0,https://x.com/loserbradshaw/status/1807194218315813205,1.1437327000181719e+18,loserbradshaw,,,,,,,,,,,,,,,
1.8071877009375235e+18,Sat Jun 29 23:01:38 +0000 2024,9.0,It makes me smile that I'm no longer out of the loop on sayings. WET DRY WORLD NEGATIVE AURA,1.8071877009375235e+18,,,en,,0.0,0.0,0.0,https://x.com/Middayboshi/status/1807187700937523424,1.7555003677169582e+18,Middayboshi,,,,,,,,,,,,,,,
1.807180997349323e+18,Sat Jun 29 22:35:00 +0000 2024,3.0, Embrace the captivating aura of Saturday vibes permeating the atmosphere! #WeekendVibes #EmotionalUplift #SaturdayVibes https://t.co/xVaAh2oL57,1.807180997349323e+18,https://pbs.twimg.com/media/GRPLa7gbEAA_ZI3.jpg,,en,Not Financial Advice,0.0,0.0,0.0,https://x.com/TheAceMaker/status/1807180997349322925,115303903.0,TheAceMaker,,,,,,,,,,,,,,,
1.8071808086055813e+18,Sat Jun 29 22:34:15 +0000 2024,15.0,special kind of aura https://t.co/rd1QBtrlZP,1.8071808086055813e+18,https://pbs.twimg.com/media/GRRlXbAWAAAuV-I.jpg,,en,,0.0,0.0,0.0,https://x.com/ErnieCleMVP/status/1807180808605581394,1.6433635395564175e+18,ErnieCleMVP,,,,,,,,,,,,,,,
1.8071949800685734e+18,Sat Jun 29 23:30:33 +0000 2024,1.0,the amount of aura this man produces is just next level https://t.co/BxMhzv0Hpq,1.8071949800685734e+18,https://pbs.twimg.com/media/GRRyQZcasAAM432.jpg,,en,USA,0.0,0.0,0.0,https://x.com/heyitskoby/status/1807194980068573430,8.766702068981842e+17,heyitskoby,,,,,,,,,,,,,,,
1.8071921507252513e+18,Sat Jun 29 23:19:19 +0000 2024,0.0,CC went 1-10 she got 0 aura,1.8071921507252513e+18,,,en,Iraq,0.0,1.0,0.0,https://x.com/PatrickMaclin/status/1807192150725251359,3345243400.0,PatrickMaclin,,,,,,,,,,,,,,,
1.807199657275056e+18,Sat Jun 29 23:49:09 +0000 2024,0.0,Damn this shit fire. But the Aura is forced cause silver will never be this cool,1.807199657275056e+18,,,en,The Cliff That Time Forgot,0.0,0.0,0.0,https://x.com/Nkruma_/status/1807199657275056185,9.70011477141844e+17,Nkruma_,,,,,,,,,,,,,,,
